stateName,white,black,asian,indigenous,other,hispanicOrLatino,notHispanicOrLatino
Alabama,67.55258608,27.18844904,1.608029323,0.76791476,2.883020796,5.255420728,94.74457927
Alaska,67.62141871,3.401012942,6.838679417,19.30103577,2.837853159,6.79364759,93.20635241
Arizona,70.22827772,5.51042651,4.182659875,5.457767532,14.62086836,30.65444154,69.34555846
Arkansas,75.57364341,16.2184157,1.852749997,1.49073482,4.864456071,8.528804685,91.47119532
California,48.24479777,6.622786413,18.01749411,2.333706199,24.78121551,39.40402683,60.59597317
Colorado,80.5939901,4.635332816,3.944438698,1.666310044,9.159928339,21.88175583,78.11824417
Connecticut,73.17747415,11.87504583,5.268954855,0.539223474,9.139301689,17.28515473,82.71484527
Delaware,65.44157735,23.96450741,4.674578238,0.6086947,5.310642304,10.53489678,89.46510322
Florida,69.06972962,18.04937309,3.578771736,0.604961105,8.697164452,26.45180859,73.54819141
Georgia,55.73317616,33.31172753,4.805658106,0.581029294,5.568408909,10.48792615,89.51207385
Hawaii,30.65478107,2.153996442,49.8464782,14.88444012,2.460304174,9.546194489,90.45380551
Idaho,89.58770414,0.932794986,1.591789791,1.740730921,6.146980161,13.01757484,86.98242516
Illinois,67.43699006,15.49832681,6.469907411,0.865642102,9.729133619,18.24318861,81.75681139
Indiana,82.56352931,10.21473028,2.64552273,0.460291564,4.115926123,8.167249476,91.83275052
Iowa,89.48668354,4.382870499,2.511685153,0.67231557,2.946445236,6.769937897,93.2300621
Kansas,83.63379924,6.352476675,3.24655214,1.294774953,5.472396988,13.02309829,86.97690171
Kentucky,87.09827468,8.505452716,1.746680823,0.386810971,2.262780815,4.612995236,95.38700476
Louisiana,60.61636993,33.39179086,1.971498821,0.765627067,3.254713323,6.924985567,93.07501443
Maine,95.32939955,1.984511991,1.29449489,0.641776012,0.749817555,1.953156253,98.04684375
Maryland,52.8130538,31.96433284,7.391047005,0.616154694,7.215411663,11.81347803,88.18652197
Massachusetts,76.24978781,7.693897416,7.910450783,0.409886234,7.735977761,12.62724723,87.37275277
Michigan,78.84941097,14.57929112,3.54055744,0.681125726,2.349614743,5.600907621,94.39909238
Minnesota,82.50948138,7.432398275,5.581098099,1.334863461,3.142158789,6.056958966,93.94304103
Mississippi,58.19560246,38.04466301,1.147463978,0.617565681,1.994704876,3.553194414,96.44680559
Missouri,82.55917803,12.18863544,2.32293614,0.700971935,2.228278456,4.924001363,95.07599864
Montana,90.48067526,0.541389012,0.819388914,6.767658818,1.390888,4.168784155,95.83121585
Nebraska,84.63199807,5.31188148,2.913652419,1.3556069,5.786861134,11.96607297,88.03392703
Nevada,59.47951869,11.41086009,10.21128171,2.581549874,16.31678964,28.67528781,71.32471219
New Hampshire,93.56940791,1.548484482,2.759759868,0.268043918,1.854303821,4.315988992,95.68401101
New Jersey,60.96571463,14.54618091,11.33015324,0.65254308,12.50540815,21.55857782,78.44142218
New Mexico,63.64373707,2.70775968,2.210200581,12.64301506,18.79528761,47.73556072,52.26443928
New York,60.45068007,16.19945029,10.48686906,0.870710987,11.99228959,19.54350446,80.45649554
North Carolina,66.70108054,22.00133907,3.526549583,1.424288064,6.346742749,10.7151492,89.2848508
North Dakota,87.62592348,3.633297791,1.792434145,5.404298152,1.544046427,4.288571084,95.71142892
Ohio,81.67499485,13.30069159,2.684897999,0.321584418,2.017831143,4.418071083,95.58192892
Oklahoma,72.86997692,8.401756493,2.635290095,9.892196761,6.20077973,11.91939693,88.08060307
Oregon,83.53097867,2.178619089,5.127629308,2.166547133,6.9962258,13.89477058,86.10522942
Pennsylvania,79.73924406,11.63840253,4.174779052,0.288905593,4.158668771,8.072284987,91.92771501
Rhode Island,78.63919203,6.244368889,3.913377562,0.79561263,10.40744889,16.59417576,83.40582424
South Carolina,67.29064373,26.56676312,1.876868887,0.575388341,3.690335928,6.893487743,93.10651226
South Dakota,85.15884486,2.124042562,1.604281895,9.320334952,1.792495732,4.369284072,95.63071593
Tennessee,76.80798013,16.81991006,2.087045406,0.494910542,3.790153867,6.933845958,93.06615404
Texas,60.84252358,14.79689937,6.602929305,1.301690958,16.45595678,39.2572268,60.7427732
Utah,85.99246208,1.338567127,2.687894118,2.625607205,7.355469469,15.06631585,84.93368415
Vermont,95.33042599,1.490633627,1.905615204,0.40755646,0.865768722,2.410908803,97.5890912
Virginia,65.72120066,20.28317801,7.765081786,0.595065209,5.63547433,10.52841644,89.47158356
Washington,74.70086431,4.477826848,10.63671869,2.713804894,7.470785261,13.74658497,86.25341503
West Virginia,94.2635413,3.851479308,0.884202222,0.244737156,0.75604001,1.941611716,98.05838828
Wisconsin,85.60512263,6.798762022,3.174849264,1.131639281,3.2896268,7.589267081,92.41073292
Wyoming,91.56245664,0.980917848,0.977168162,2.714210185,3.765247161,10.23591881,89.76408119